timestamp_utc,dedupe_stage,canonical_uuid,canonical_name,canonical_summary,alias_uuid,alias_name,alias_summary,alias_episode_uuid,alias_episode_excerpt
2026-02-16T04:50:34.485615+00:00,llm,61a2f9c9-5c54-4557-95f7-3b8752594445,market gardening,"Market gardening in Paris is a concentrated practice that requires dedication and time, with procedures and aims different from vegetable growing. The Société royale et centrale d'agriculture promoted it, offering a prize for the best treatise on market gardening as practised in Paris in 1843.",9c7fd8b9-e3f9-47c0-8afe-ab02375e2aaf,,,,
2026-02-16T04:50:34.485662+00:00,llm,61a2f9c9-5c54-4557-95f7-3b8752594445,market gardening,"Market gardening in Paris is a concentrated practice that requires dedication and time, with procedures and aims different from vegetable growing. The Société royale et centrale d'agriculture promoted it, offering a prize for the best treatise on market gardening as practised in Paris in 1843.",5b79550f-6047-49ab-a410-abc21d7f3378,,,,
2026-02-16T05:48:59.559959+00:00,llm,df5705d4-295e-4860-a291-19b54cd77dce,Fournier,Fournier was a market gardener who introduced frames and cantaloupe to market gardening in Paris around 1780.,a88c9da8-17ed-428c-97b3-75a4d4b4d7f6,,,,
2026-02-16T05:48:59.559991+00:00,llm,df5705d4-295e-4860-a291-19b54cd77dce,Fournier,Fournier was a market gardener who introduced frames and cantaloupe to market gardening in Paris around 1780.,4c34b634-7c18-4e66-b135-727d41f42949,,,,
2026-02-16T05:57:50.896600+00:00,exact_people,b35f9653-d391-47ef-96c4-d3c3841edcf5,Market gardeners,"Market gardeners in Paris have been impacted by urban expansion; they practice market gardening on 1,800 marshes or gardens within the city limits.",99cc3b3b-4dd5-49de-85bc-51738f8f0898,,,,
2026-02-16T05:57:50.896661+00:00,llm,b35f9653-d391-47ef-96c4-d3c3841edcf5,Market gardeners,"Market gardeners in Paris have been impacted by urban expansion; they practice market gardening on 1,800 marshes or gardens within the city limits.",98828ebf-0fa1-4916-a1dc-d4571b469e75,,,,
2026-02-16T06:33:15.878012+00:00,llm,055632f7-1242-4b93-9570-20a625119fc7,potatoes,Potatoes were first grown by a market gardener named Fournier in Paris.,2886e06f-f60a-4cf2-a47b-aad705393f61,,,,
2026-02-16T06:33:15.878065+00:00,llm,055632f7-1242-4b93-9570-20a625119fc7,potatoes,Potatoes were first grown by a market gardener named Fournier in Paris.,b326542b-5982-4dd0-8c4e-29a8b83c4bc4,,,,
2026-02-16T07:18:29.303498+00:00,llm,3e014b9e-5929-4de8-8ec3-ba7848451f6b,clay,"Clay is a type of soil used for market gardening in Paris and has advantages and disadvantages. It can be difficult to work but large vegetables such as cabbage-apple, cauliflower, artichoke, cardoon grow vigorously if the surface is often hosed or covered with mulch.",e45a4c7f-43ef-4dab-9923-5d5add6d43cd,,,,
2026-02-16T07:18:29.303550+00:00,llm,3e014b9e-5929-4de8-8ec3-ba7848451f6b,clay,"Clay is a type of soil used for market gardening in Paris and has advantages and disadvantages. It can be difficult to work but large vegetables such as cabbage-apple, cauliflower, artichoke, cardoon grow vigorously if the surface is often hosed or covered with mulch.",3fa419f4-5862-4a85-9598-c6ad73533fab,,,,
