timestamp_utc,stage,canonical_edge_uuid,canonical_fact,canonical_source_uuid,canonical_source_name,canonical_target_uuid,canonical_target_name,alias_edge_uuid,alias_fact,alias_source_uuid,alias_source_name,alias_target_uuid,alias_target_name,alias_episode_uuid,alias_episode_excerpt
2026-03-12T17:37:09.621271+00:00,llm_resolve,ae028f79-1932-48c9-afb8-49748e4c1f55,Quentin introduced white asparagus to Paris around 1792.,73ca578e-a7ee-4667-b3ef-0fa259e51b56,Quentin,13263265-3edb-4780-843f-556457641825,White asparagus,ae028f79-1932-48c9-afb8-49748e4c1f55,Quentin introduced white asparagus to Paris around 1792.,73ca578e-a7ee-4667-b3ef-0fa259e51b56,Quentin,13263265-3edb-4780-843f-556457641825,White asparagus,d0dd2b78-c71e-43c5-8567-87d609143627,". The first to introduce white asparagus was a man named Quentin, around 1792. Green asparagus began to be forced by the same man and his brother-in-law, named Marie, around 1800. The first to force c"
2026-03-12T17:40:43.459907+00:00,llm_resolve,be4ec38c-ee04-4423-ba63-f25bc9bae9be,Market gardeners worked in Paris.,be1c9500-44fd-4176-9005-c9d1a79b2819,Market gardeners,fb8abf99-c87a-46b1-8e96-22b4ad5ed892,PARIS,be4ec38c-ee04-4423-ba63-f25bc9bae9be,Market gardeners worked in Paris.,be1c9500-44fd-4176-9005-c9d1a79b2819,Market gardeners,fb8abf99-c87a-46b1-8e96-22b4ad5ed892,PARIS,9cd0e75b-178d-4d1c-9eea-713a0bfed892,". 0 CHAPTER HI. ART. 1. - Horticultural statistics. As our work is particularly intended for our children, the young market gardeners, we must give them the meaning of words that are not learned in ou"
2026-03-12T18:07:00.697703+00:00,llm_resolve,ee539e5a-783f-42c3-b0a2-d7f0aaeb63e6,Market gardening is commonly practised in Paris.,fb8abf99-c87a-46b1-8e96-22b4ad5ed892,PARIS,680de6d4-3916-487c-b65a-bcfa266ee66a,market gardening,ee539e5a-783f-42c3-b0a2-d7f0aaeb63e6,Market gardening is commonly practised in Paris.,fb8abf99-c87a-46b1-8e96-22b4ad5ed892,PARIS,680de6d4-3916-487c-b65a-bcfa266ee66a,market gardening,dff30ad0-cab3-49f7-959c-1215a695e7e7,". per year. ART. 2 - Horticultural economics. By the term ""economy"", we mean the relationship between expenditure and income, so that the latter is always greater than the former. But if it's easy to "
2026-03-12T18:51:13.164297+00:00,llm_resolve,a1f15d98-dfe4-4492-ac37-cc66656539ab,Melon beds are associated with mulch.,658f233f-6743-4c7a-a125-c65855490a32,mulch,05a137c1-079c-42e0-bf8a-99e38d78e4f7,melon beds,a1f15d98-dfe4-4492-ac37-cc66656539ab,Melon beds are associated with mulch.,658f233f-6743-4c7a-a125-c65855490a32,mulch,05a137c1-079c-42e0-bf8a-99e38d78e4f7,melon beds,9a8a2d74-b8b1-4ca1-8d13-4d6b6d395cf2,". After this general overview, we'll explain how we obtain the mulch and topsoil we use, how we use it and what effects we expect from it. Mulch. - Mulch is made from very short, half-consumed horse m"
2026-03-12T20:17:07.756689+00:00,llm_resolve,829fd46f-e845-46a0-8b31-ba91886e3eb9,barrels are placed inside the marshes to receive water through underground pipes from wells,a4049d9f-6333-435e-87f7-545dfc5f1e66,barrels,1ef12bca-412c-4805-a043-e644a9a081c6,marshes,829fd46f-e845-46a0-8b31-ba91886e3eb9,barrels are placed inside the marshes to receive water through underground pipes from wells,a4049d9f-6333-435e-87f7-545dfc5f1e66,barrels,1ef12bca-412c-4805-a043-e644a9a081c6,marshes,8ddcffc1-5a98-4bca-ba3a-8939d7f80867,". The simple ones have the eye at one end to receive the handle, and the other has a blade or two teeth which are used to crutch the earth in plantations and better prepare it to receive watering. A s"
2026-03-13T02:29:45.488655+00:00,llm_resolve,d8d3f0f7-d590-422b-95c7-bc016d0f8251,seedlings should be planted in soil,413f350c-8608-4c19-9185-75d207c48b2a,seedlings,90fa9364-cf7d-4f37-9de0-24343e66a46f,soil,d8d3f0f7-d590-422b-95c7-bc016d0f8251,seedlings should be planted in soil,413f350c-8608-4c19-9185-75d207c48b2a,seedlings,90fa9364-cf7d-4f37-9de0-24343e66a46f,soil,e6b14a9b-7655-491a-98d1-a6baf414e733,". When the adolescent(s) is (are) cloistered in this way, we carefully pull out the seedling we've just mentioned, and transplant it under the adolescent cloches of the following manjère; we remove a "
2026-03-13T03:22:33.448388+00:00,llm_resolve,87096743-8a26-4cfc-87ee-0611d83dab7a,the seed was covered with a few millimeters of potting soil,325e5d67-15fa-483a-9b43-c316ab62ee71,potting soil,7e303f1e-cce3-49a9-ad9e-227f51ed27bc,seeds,87096743-8a26-4cfc-87ee-0611d83dab7a,the seed was covered with a few millimeters of potting soil,325e5d67-15fa-483a-9b43-c316ab62ee71,potting soil,7e303f1e-cce3-49a9-ad9e-227f51ed27bc,seeds,f6ab28d4-d3d6-419d-b950-c54c9f0bec7e,". FORCED CULTIVATION. - The seed of this romaine is sown in the first days of October. Its cultivation is almost entirely similar to that of little black lettuce: we could refer the reader to it, but "
2026-03-13T06:24:23.297852+00:00,fast_exact,381b9b31-01fd-41d1-821b-aeb9d977d942,Straw mats are placed on top of the beds.,8d973cbb-a253-45a6-9d04-8770723bcb81,straw mats,e649519d-756d-46c5-91ff-94dee25de421,bed,f89a48c0-d158-4bb2-ac6c-159d34bc3a40,Straw mats are placed on top of the beds.,8d973cbb-a253-45a6-9d04-8770723bcb81,straw mats,e649519d-756d-46c5-91ff-94dee25de421,bed,8b0f32ec-4918-418a-b74c-9b233bbf3e32,". But as soon as the potting soil has been edged, filled and levelled, draw a line down the middle and place a row of bells 66 centimetres apart from center to center. When the heat under the bells ha"
2026-03-13T06:24:23.297905+00:00,llm_resolve,a276afb6-6a91-4928-8c9c-d35f9304c356,Melons are planted in potting soil.,55068915-6b87-4874-80db-789693ae13cb,Melon,325e5d67-15fa-483a-9b43-c316ab62ee71,potting soil,a276afb6-6a91-4928-8c9c-d35f9304c356,Melons are planted in potting soil.,55068915-6b87-4874-80db-789693ae13cb,Melon,325e5d67-15fa-483a-9b43-c316ab62ee71,potting soil,8b0f32ec-4918-418a-b74c-9b233bbf3e32,". But as soon as the potting soil has been edged, filled and levelled, draw a line down the middle and place a row of bells 66 centimetres apart from center to center. When the heat under the bells ha"
2026-03-13T07:43:34.783766+00:00,llm_resolve,19e824df-4704-407c-b513-d18fb25791f6,The beds use potting soil.,e649519d-756d-46c5-91ff-94dee25de421,bed,325e5d67-15fa-483a-9b43-c316ab62ee71,potting soil,19e824df-4704-407c-b513-d18fb25791f6,The beds use potting soil.,e649519d-756d-46c5-91ff-94dee25de421,bed,325e5d67-15fa-483a-9b43-c316ab62ee71,potting soil,0a868e57-9034-4807-bbf8-1d821a539dbb,". Eight days after it has been tied, a second tie is placed at the top, 0 827 to hide the heart, and a few days later it can be removed, trimmed and sent to the market. This chicory is usually ready f"
