cluster_id,representative_llm,representative_llm_free,representative,total_count,members
49,PLANTED_IN,PLANTING_LOCATION,PLANTED_IN,198,51
232,GROWS_IN,GROWN_IN_ENVIRONMENT,IS_GROWN_IN,167,37
34,CAN_BE_AFFECTED_BY,AFFECTED_BY,CAN_BE_AFFECTED_BY,119,18
12,USED_WITH,USED_FOR,USED_WITH,79,27
9,REQUIRES,REQUIRES_SOMETHING,REQUIRES,54,31
4,IS_COVERED_WITH,COVERED_WITH,IS_COVERED_WITH,53,10
43,HARVESTED_FROM,HARVESTING_RELATION,HARVESTED_FROM,51,23
32,CULTIVATED,CULTIVATION_RELATION,CULTIVATED,39,27
24,IS_LOCATED_IN,LOCATED_IN_OR_AT,IS_LOCATED_IN,38,15
40,WATERED_BY,WATERING_RELATIONSHIP,WATERED_WITH,35,23
18,CAN_BE_PLANTED_IN_MONTH,PLANTING_SCHEDULE,CAN_BE_PLANTED_IN_MONTH,33,14
37,HAS_GROWTH_STAGE,GROWTH_STAGE_RELATION,HAS_GROWTH_STAGE,31,13
41,IS_RELATED_TO,RELATED_TO,IS_RELATED_TO,29,7
46,TREATED_WITH,TREATED_WITH,TREATED_WITH,26,5
91,GROWS_DURING,GROWS_DURING,GROWS_DURING,24,8
64,CROP_VARIETY,CROP_VARIETY_RELATED_TO_CROP,CROP_TYPE,24,8
19,HAS_COMPONENT,HAS_COMPONENT,HAS_VARIETY,24,13
139,IS_PROTECTED_FROM,PROTECTION_RELATION,IS_PROTECTED_FROM,20,11
42,MENTIONED_ALONGSIDE,MENTIONED_WITH,MENTIONED_ALONGSIDE,20,6
33,PLANTING_DATE,PLANTING_DATE_RELATION,HAS_PLANTING_DATE,18,13
59,CONTAINS,CONTAINS,CONTAINS,18,9
8,PLANTED_AFTER,GROWS_AFTER,PLANTED_AFTER,16,6
23,SIMILAR_TO,SIMILARITY_RELATIONSHIP,SAME_SPECIES_AS,16,12
174,IS_A_VARIETY_OF,VARIETY_OF,IS_A_VARIETY_OF,15,3
171,IS_REPLACED_BY,ALTERNATIVE_OR_REPLACEMENT,IS_REPLACED_BY,15,9
28,TRANSPLANTED_TO,TRANSPLANTATION_LOCATION,ARE_TRANSPLANTED_INTO_NURSERY,14,10
54,DIFFERS_FROM,DIFFERS_FROM,HAS_DIFFERENT_CHARACTERISTICS_THAN,12,11
44,FOLLOWED_BY,FOLLOWS,FOLLOWS_LAYERS,12,6
35,AFFECTS,AFFECTS,AFFECTS,12,8
162,AFFECTED_BY_PEST,AFFECTED_BY_PEST,PEST_AFFECTED_BY,11,6
1,SOIL_TYPE_RELATIONSHIP,SOIL_TYPE_RELATIONSHIP,SOIL_TYPE_FOR_CROP,11,9
14,IS_TYPE_OF,CATEGORY_OF,IS_TYPE_OF,11,2
57,READY_FOR,READY_FOR_USE,PICKED_AND_READY,11,9
3,HAS_CHARACTERISTIC,HAS_CHARACTERISTIC,SEED_CHARACTERISTIC,11,9
116,USES_EQUIPMENT,USES_EQUIPMENT,USES_EQUIPMENT,10,8
105,PREFERRED_FOR,PREFERRED_CONDITION,PREFERRED_FOR,10,8
89,REMOVED_FROM,REMOVED_FROM_SOMETHING,REMOVED_FROM,10,7
60,MADE_FROM,DERIVED_FROM,MADE_FROM,9,5
31,PREFERRED_SOIL_CONDITION,SOIL_CONDITION,SOIL_CONDITION,9,9
169,PEST_AFFECTS_CROP,ENVIRONMENTAL_FACTOR_AFFECTS_CROP,PEST_AFFECTS_CROP,9,4
2,FOUND_IN,LOCATED_IN,IS_STORED_IN,9,3
300,AVAILABLE_IN,AVAILABLE_IN_LOCATION,AVAILABLE_IN,8,2
73,RAISED_ON,RAISED,RAISED_ON,8,7
38,IS_PART_OF,PART_OF,IS_PART_OF,8,2
87,HAS_PRUNING_PRACTICE,PRUNING_RELATIONSHIP,PRUNED_AT,8,8
39,EXPOSED_TO,EXPOSED_TO_AIR,EXPOSED_TO,8,8
51,PRODUCES,PRODUCES_OUTPUT,PRODUCES,8,5
170,PREPARATION_METHOD,PREPARATION_METHOD,PREPARED_IN,7,7
56,ARE_WARMED_UP_FROM_MONTH,HEAT_SOURCE_RELATION,ARE_WARMED_UP_FROM_MONTH,7,6
92,SPACED-apart,SPACED_RELATION,SPACED-apart,7,6
85,CONTINUE_TO_BE_TRANSPLANTED,TRANSPLANT_STATUS,CONTINUE_TO_BE_TRANSPLANTED,7,2
206,PRACTICED_IN,PRACTICES_IN,PRACTICED_IN,7,6
17,MANNES_CONTAIN,CONTAIN_MANNEQUINS,MANNES_CONTAIN,7,2
11,HAS_LEAVES,PLANT_CHARACTERISTICS,PLANTS_IN,6,6
50,SUPPORTED_BY,SUPPORTED_BY,SUPPORTED_BY,6,4
62,PRICED_AT,VALUED_AT,PRICED_AT,6,2
66,SELECTED_FROM,SELECTED_OR_PICKED_BASED_ON_QUALITY_OR_STATE,SELECTED_FROM,6,6
36,IS_NOT_GROWN,NOT_GROWN,IS_NOT_GROWN,6,4
97,MIXED_WITH,MIXED_WITH_SUBSTANCE,MIXED_WITH,6,3
141,BELONGS_TO,BELONGS_TO,BELONGS_TO,6,5
140,HAS_COST,HAS_COST,COSTS,6,3
133,IRRIGATION_METHOD,IRRIGATION_RELATION,IRRIGATION_METHOD,6,4
160,RECOMMENDED_FOR,IS_RELEVANT_TO,RECOMMENDED_FOR,6,4
130,CUT_BY,CUT_BY_MEANS_OF,CUT_AT,6,5
260,GROWN_IN_SPECIFIC_REGIONS_OR_SETTINGS,GROWN_UNDER_SPECIFIC_CONDITIONS,PLANTED_UNDER_SPECIFIC_CONDITIONS,6,4
6,USES_MANURE_IN,MANURES_ASSOCIATED_WITH,USES_MANURE_IN,6,6
120,FARMING_PRACTICE,RELATED_TO_FARMING_PRACTICE,FARMING_PRACTICE_RELATED,5,4
144,PUBLISHED_BY,CREATED_BY,AUTHORED_BY,5,3
68,TEMPORAL_RELATIONSHIP,TIME_PERIOD_RELATION,TEMPORAL_RELATIONSHIP,5,3
76,DERIVED_FROM,ORIGINATES_FROM,IS_ORIGINATED_FROM,5,4
83,CARRIES,CARRYING_RELATION,CARRIES,5,3
325,HAS_FRAME,HAS_FRAME,HAS_FRAME,5,5
13,NEW_CROP_AVAILABLE,CROP_AVAILABILITY,NEW_CROP_AVAILABLE,5,2
16,SENSITIVE_TO_FROST,AFFECTED_BY_WEATHER_CONDITIONS,AFFECTED_BY_SNOW,5,5
10,ARRANGED_IN,ARRANGED_IN_OR_ON,ARRANGED_IN,5,5
113,IS_GROWN_BY_MARKET_GARDENERS_IN_LOCATION,MARKET_GARDENING_RELATED_TO_LOCATION_OR_PROVINCE,IS_GROWN_BY_MARKET_GARDENERS_IN_LOCATION,5,3
179,HAS_RELATIONSHIP_WITH,HAS_RELATIONSHIP,-has_part-relationship,5,3
20,HAS_TIME_TO_MATURITY,MATURITY_DATE_RELATION,HAS_TIME_TO_MATURITY,5,4
132,REQUIRES_TO_GROW,REQUIRES_FOR_GROWTH,IS_NEEDED_TO_FERTILIZE,5,4
109,IMPROVES_SOIL_FERTILITY,SOIL_IMPROVEMENT,SOIL_IMPROVED_WITH,4,4
67,IS_TOPPED_AT_STAGE,TOPPED_AT_OR_DURING_STAGE,IS_TOPPED_AT_STAGE,4,3
108,USES_TO_MAKE_MULCH,MULCH_INPUT,USES_TO_MAKE_MULCH,4,2
77,INTRODUCED_CROP_INTO_MARKET_GARDENING,INTRODUCE_ITEM_TO_MARKET_GARDENING,INTRODUCED_CROP_INTO_MARKET_GARDENING,4,2
15,CONVERTED_TO,MOVED_TO,MOVED_FROM,4,4
151,SEASONAL_AVAILABILITY,SEASONAL_AVAILABILITY,SEASONAL_AVAILABILITY,4,2
234,TRANSPORTED_BY,TRANSPORTATION_METHOD,CAN_BE_TRANSPORTED_UNDER,4,3
29,SPRING_CHERVIL_CULTIVATED_WITH,SEASONAL_CHERVIL_ACTIVITY,WINTER_CHERVIL_SOWN_IN,4,4
25,SUPERIOR_TO,SUPERIORITY_RELATIONSHIP,SUPERIOR_TO,4,3
149,GERMINATES_FOR,GERMINATION_SITE,GERMINATES_FOR,4,3
229,SLOPES_TOWARDS_DIRECTION_OF,ORIENTATION_RELATIVE_TO_DIRECTION,SLOPED_TO_SOUTH,4,4
154,REQUIRES_SEED_QUANTITY,SEED_REQUIREMENT,SEED_PRODUCTION_PREREQUISITE,4,2
129,CARROT_IS_COVERED_WITH,CARROT_IS_LOCATED_IN_OR_ON,CARROT_IS_SOWN_IN,4,4
119,IS_LESS_ACIDIC_THAN,COMPARE_BY_DEGREE,LESS_COMMON_THAN,4,4
134,DIVIDED_INTO,DIVIDED_INTO,SPLIT_INTO,4,4
82,REMOVES,REMOVES_SOMETHING,REMOVES,4,3
332,INTERPLANTED_WITH,COLOCATED_WITH,INTERPLANTED_WITH,4,1
335,DIFFERS_IN_RUNNIG_FROM,DIFFERS_FROM,DIFFERS_IN_RUNNIG_FROM,4,1
90,CAUSES,CAUSAL_RELATIONSHIP,CAUSES_CONDITION,4,3
84,INFECTED_BY,INFECTED_BY_OR_INFECTS,INFECTS,4,4
86,Damaged_BY,CAUSED_DAMAGE_BY,Damaged_BY,4,4
150,REQUIRES_REMOVAL_IN,REQUIRES_MAINTENANCE_ACTION,REQUIRES_REMOVAL_IN,3,3
188,CAN_BE_SOWN_FOR_BEDDING_OR_COASTAL_PLANTING,COASTAL_PLANTING,CAN_BE_SOWN_FOR_BEDDING_OR_COASTAL_PLANTING,3,2
340,IS_PRONE_TO,PRONE_TO_RELATIONSHIP,IS_PRONE_TO,3,1
152,IMPROVED_WITH,IMPROVED_BY,IMPROVED_WITH,3,3
230,MADE_FROM_CAST_IRON_ALTERNATIVELY,MADE_OF_ALTERNATIVE_MATERIALS,MADE_OF_STONEWARE_ALTERNATIVELY,3,3
222,HAVE_COMMON_PARTS,HAVE_COMMON_EDIBLE_PARTS,HAVE_COMMON_PARTS,3,2
26,AFFECTED_BY_MELON_PRUNING,AFFECTED_BY_FRUIT_PRUNING,AFFECTED_BY_MELON_PRUNING,3,2
27,USE_EQUIPMENT_FOR_CROP_MANAGEMENT,CROP_EQUIPMENT_RELATIONSHIP,CROP_ASSOCIATED_WITH_EQUIPMENT,3,3
198,ARE_RESISTANT_TO,RESISTANT_TO,ARE_RESISTANT_TO,3,2
354,TIME_OF_HARVESTING_RELATIONSHIP,HARVEST_TIME,TIME_OF_HARVESTING_RELATIONSHIP,3,1
115,HARROWED_WITH,ATTACKED_WITH,STONED_WITH,3,3
342,FILLED_WITH,COVERED_OR_FILLED_WITH_SUBSTANCE,FILLED_WITH,3,3
238, HAS_ROOT,HAS_ROOT_OR_TRUNK, HAS_ROOT,3,2
245,SHAPED_BY,FORMS_INTO_SOMETHING,SHAPED_BY,3,3
278,RENTS_AT,RENTS_AT,RENTS_AT,3,2
95,RESEARCHED_BY,RESEARCHED_BY,DEVELOPED_BY,3,3
100,MEASURED_BY,MEASURED_BY,MEASURED_BY,3,3
