cluster_id,representative_llm,representative_llm_free,representative,total_count,members
12,PLANTED_IN,PLANTED_IN,PLANTED_IN,567,196
14,CAN_BE_AFFECTED_BY,AFFECTED_BY,CAN_BE_AFFECTED_BY,171,54
4,USED_WITH,USED_WITH_OR_BY,USED_WITH,97,42
11,IS_COVERED_WITH,ASSOCIATED_WITH,IS_COVERED_WITH,74,25
63,REQUIRES,REQUIRES,REQUIRES,72,46
16,IS_RELATED_TO,ASSOCIATED_WITH,IS_RELATED_TO,70,30
17,IS_LOCATED_IN,LOCATED_IN,IS_LOCATED_IN,60,30
40,CONTAINS,CONTAINS_OR_HAS_PART,CONTAINS,58,35
5,WATERED_WITH,WATERING_RELATION,WATERED_WITH,50,36
32,CROP_VARIETY,CROP_RELATED_INFO,CROP_TYPE,35,16
150,HAS_GROWTH_STAGE,GROWTH_STAGE_RELATED_TO,HAS_GROWTH_STAGE,32,14
42,TREATED_WITH,TREATED_WITH,TREATED_WITH,28,7
13,SOIL_TYPE_RELATIONSHIP,SOIL_RELATIONSHIP,SOIL_TYPE_FOR_CROP,28,26
76,TRANSPLANTED_TO,TRANSPLANTATION,CONTINUE_TO_BE_TRANSPLANTED,23,14
37,PROTECTED_AGAINST,PROTECTION_RELATION,IS_PROTECTED_FROM,22,13
39,EXPOSED_TO,HEAT_RELATED_INTERACTION,ARE_WARMED_UP_FROM_MONTH,20,19
41,IS_REPLACED_BY,ALTERNATIVE_OR_REPLACEMENT,IS_REPLACED_BY,18,12
73,PICKED_AND_READY,PREPARATION_STATUS,PICKED_AND_READY,18,16
2,DERIVED_FROM,ORIGINATES_FROM,MADE_FROM,17,12
3,CUT_AT,PRUNE_OR_CUT,CUT_AT,17,16
18,RAISED_ON,RAISED_OR_ENHANCED_AT,RAISED_ON,17,15
9,DIFFERS_FROM,DIFFERS_FROM,DIFFERS_IN_RUNNIG_FROM,17,13
83,SIMILAR_TO,SIMILARITY_RELATIONSHIP,SAME_SPECIES_AS,17,13
29,REMOVED_FROM,REMOVED,REMOVED_FROM,16,12
81,IS_A_VARIETY_OF,VARIETY_OF,IS_A_VARIETY_OF,16,4
25,HAS_COST,HAS_PRICE_OR_COST,PRICED_AT,14,6
34,SEPARATED_BY,SEPARATED_BY,SPACED-apart,13,12
90,FOLLOWED_BY,FOLLOWS,FOLLOWS_LAYERS,12,6
48,HAS_CHARACTERISTIC,HAS_CHARACTERISTIC,SEED_CHARACTERISTIC,12,10
62,PREFERRED_FOR,PREFERRED_CONDITION,PREFERRED_FOR,12,10
38,MANURE_TYPE_COMPARISON,MANURE_RELATED,MANURE_TYPE_COMPARISON,12,10
10,IS_TYPE_OF,CATEGORY_OF,IS_TYPE_OF,12,3
20,IS_GROWN_BY_MARKET_GARDENERS_IN_LOCATION,MARKET_GARDENING_RELATED,INTRODUCED_CROP_INTO_MARKET_GARDENING,10,6
67,GREENER_THAN,COMPARE_ATTRIBUTE,GREENER_THAN,10,9
58,AVAILABLE_IN,AVAILABLE_IN_LOCATION,AVAILABLE_IN,10,4
27,PRODUCES,PRODUCTION_OUTPUT,PRODUCES,9,6
120,TRANSPORTED_BY,TRANSPORTATION_RELATION,CARRIES,9,6
22,IS_PART_OF,PART_OF,IS_PART_OF,9,3
0,IS_BENEFICIAL_FOR,IS_RELEVANT_TO,RECOMMENDED_FOR,9,7
56,FARMING_PRACTICE_RELATED,FARMING_PRACTICE_RELATED,FARMING_PRACTICE_RELATED,8,7
134,SENSITIVE_TO_FROST,WEATHER_SENSITIVITY,OVERWINTERS_AT,8,8
79,PRACTICED_IN,PRACTICES_IN_OR_RELATED_TO,PRACTICED_IN,8,7
122,TEMPORAL_RELATIONSHIP,TEMPORAL_RELATIONSHIP,TIME_OF_HARVESTING_RELATIONSHIP,8,4
36,SUPERIOR_TO,COMPARES_TO,SUPERIOR_TO,8,6
104,HAS_RELATIONSHIP_WITH,HAS_RELATIONSHIP_WITH,-has_part-relationship,7,5
141,SEASONAL_AVAILABILITY,SEASONAL_RELATEDNESS,SEASONAL_AVAILABILITY,7,5
84,HAS_FRAME,HAS_FRAME,HAS_FRAME,7,7
33,SELECTED_FOR_CONSUMPTION,SELECTED_OR_PICKED,SELECTED_FROM,7,7
8,ORIENTED_TOWARDS_SOUTH,ORIENTED_TOWARDS_SOUTH,SLIDE_AGAINST,7,7
35,MANNES_CONTAIN,CONTAIN_MEN,MANNES_CONTAIN,7,2
28,CONVERTED_TO,MOVED_TO,TURNS_THE,6,6
149,IS_NOT_GROWN,NOT_GROWN,IS_NOT_GROWN,6,4
51,MATURITY_PERIOD,MATURITY_DATE,HAS_TIME_TO_MATURITY,6,5
31,CLEANED_WITH,COVERED_OR_CLEANED_WITH_MATERIALS,CLEANED_WITH,6,6
30,SEED_SOURCES,SEEDING_RELATIONSHIP,SET_SEED_IN,5,5
53,GERMINATES_FOR,GERMINATION_CONTEXT,GERMINATES_FOR,5,4
60,IS_PRONE_TO,PRONE_TO_DEGENERATION,IS_PRONE_TO,5,3
114,USES_TO_MAKE_MULCH,MULCH_RELATION,USES_TO_MAKE_MULCH,5,3
85,FRAMES_AREUSED_WITH_PEAS,USED_WITH_PEAS,FRAMES_AREUSED_WITH_PEAS,5,5
21,PRECEDES,PRECEDES,PRECEDES,4,4
19,RELIES_ON,BASED_ON,RELIES_ON,4,4
59,INCLUDES_IN_LAYERING_PROCESS,LAYERING_RELATIONSHIP,LAYERED_WITHIN,4,4
128,MEASURED_BY,MEASURED_IN,MEASURED_BY,4,4
130,CARROT_IS_COVERED_WITH,CARROT_IS_LOCATED_IN_OR_ON,CARROT_IS_SOWN_IN,4,4
124,ARE_RESISTANT_TO,RESISTANT_TO,ARE_RESISTANT_TO,4,3
70,IS ALSO KNOWN AS,ALSO_KNOWN_AS,KNOWN_AS,4,4
69,SPREAD_OVER,PROPAGATE_OVER,SPREAD_OVER,4,4
119,SPRING_CHERVIL_CULTIVATED_WITH,SEASONAL_CHERVIL_ACTIVITY,WINTER_CHERVIL_SOWN_IN,4,4
6,DOES_NOT_RESULT_IN,NEGATIVE_ASSOCIATION,REJECTED_BY,4,4
152,CONSUMED_IN,CONSUMPTION_RELATION,FED_BY,3,3
1,COMPANION_PLANT_FOR,PLANTED_WITH,COMPANION_PLANT_FOR,3,2
65,DEPANELLED_AT,REMOVED_FROM,DEPANELLED_AT,3,3
68,RENTS_AT,RENTS_AT,RENTS_AT,3,2
66,HAS_WIDTH_AND_DEPTH,HAS_DIMENSIONAL_PROPERTY,REACHES_LENGTH_OF,3,3
78,HAS_FRUIT_LENGTH,HAS_DIMENSIONAL_ATTRIBUTE,HAS_SEED_LENGTH,3,3
74,SENT_TO_MARKET_AT,MARKETING_RELATIONSHIP,CAN_BE_SOLD_FROM,3,3
136,SCHEDULED_FOR,EXPECTED_ON,CHECKED_FOR,3,3
139,DEPICTS,VISUAL_REPRESENTATION,DEPICTS,3,3
45,HAS_TIMBER_SUPPORTS,HAS_STRUCTURAL_TIMBERS,HAS_TIMBER_SUPPORTS,3,3
133,OCCURS_AFTER_SPECIFIC_CONDITION,CONDITIONALLY_TRIGGERED,TRIGGERED_IN_CONDITIONS,3,3
50,LOCATION_ASSOCIATION,LOCATION_ASSOCIATION,COOLING_LOCATION,3,3
52,COSTS_ASSOCIATED_WITH_EQUIPMENT,EQUIPMENT_RELATIONSHIP,COSTS_ASSOCIATED_WITH_EQUIPMENT,3,2
54,CAN_BE_LEFT_IN,LEFT_IN_PLACE,CAN_BE_LEFT_IN,3,2
47,BLANCHES_FROM,BLANCHING_SOURCE,BLANCHED_USING,3,2
116,RETAINS_GERMINATIVE_CAPACITY_FOR,RETAINS_SEED_VIABILITY_FOR,RETAINS_GERMINATIVE_CAPACITY_FOR,3,3
101,COOPER_CINNAMON_USED_IN_LEAD_PIPE_END,LEAD_PIPE_MATERIAL_OR_ALTERNATIVE,LEAD_PIPE_MADE_OF,3,3
135,PINK_RADISH_GROWN_IN_LOCATIONS,RADISH_ORIGINATED_FROM,RADISH_GROWN_AND_WATERED,3,3
23,AFFECTED_BY_COMPETITION_FROM_OUTSIDE_REGION,COMPETITION_FROM_EXTERNAL_FACTORS,AFFECTED_BY_COMPETITION_FROM_OUTSIDE_REGION,3,3
145,IS_DIFFICULT_TO_DETERMINE_FOR,UNCERTAIN_OR_DIFFICULT_TO_DETERMINE,IS_DIFFICULT_TO_DETERMINE_FOR,2,1
71,CULTIVATED_VARIETY,CULTIVATED_TAXONOMY_RELATIONSHIP,CULTIVATED_VARIETY,2,2
140,SPROUTS_FROM,SPROUTS_FROM_OR_IN,SPROUTS_IN,2,2
75,HAS_PULLEY,HAS_PUTTY_OR_PULLEY,HAS_PULLEY,2,2
61,RESULTS_IN,CAUSES,RESULTS_IN,2,2
57,ENCROACHES_WITH,OCCUPIES_SPACE_OF,ENCROACHES_WITH,2,2
93,GROWTH_RESTRICTED_IN,LIMITED_IN,GROWTH_RESTRICTED_IN,2,2
