cluster_id,representative_llm,representative_llm_free,representative,total_count,members
6,PLANTED_IN,THIS_APPEARS_TO_BE_A_LIST_OF_RELATIONSHIPS_OR_PREDICATES_EXTRACTED_FROM_A_DATASET_RELATED_TO_AGRICULTURE_FARMING_AND_GARDENING,PLANTED_IN,1439,725
4,CAN_BE_AFFECTED_BY,AFFECTED_BY,CAN_BE_AFFECTED_BY,193,72
3,DIFFERS_FROM,DIFFERS_FROM,IS_REPLACED_BY,56,43
1,REMOVED_FROM,PRUNE_REMOVED_CUT,REMOVED_FROM,42,36
10,GROWTH_STAGE_OF,GROWTH_STAGE_RELATIONSHIP,HAS_GROWTH_STAGE,42,23
20,TRANSPLANTED_TO,TRANSPLANTATION_EVENT,CONTINUE_TO_BE_TRANSPLANTED,32,23
7,PRICED_AT,HAS_PRICE,PRICED_AT,24,14
18,AVAILABLE_IN,SEASONAL_AVAILABILITY,AVAILABLE_IN,19,11
5,-has_part-relationship,HAS_RELATIONSHIP_WITH,-has_part-relationship,19,13
0,USES_MANURE_IN,MANURE_RELATED,USES_TO_MAKE_MULCH,19,15
38,PREFERRED_FOR,PREFERENCE_RELATIONSHIP,PREFERRED_FOR,19,17
19,HAS_FRAME,HAS_FRAME_OR_SUPPORT,EDGE_WITH,19,19
8,IS_NOT_GROWN,NOT_GROWN_OR_USED,IS_NOT_GROWN,13,11
22,IS_PART_OF,PART_OF_RELATIONSHIP,IS_PART_OF,12,5
26,IS_GROWN_BY_MARKET_GARDENERS_IN_LOCATION,MARKET_GARDENING,INTRODUCED_CROP_INTO_MARKET_GARDENING,11,7
14,GERMINATES_WITHIN,GERMINATION_PERIOD,GERMINATES_FOR,9,8
17,MANNES_CONTAIN,CONTAIN_MANNEQUINS,MANNES_CONTAIN,7,2
30,BEARS_APPLES_IN,PEAS_USAGE_CONTEXTS,BEARS_FRUIT_IN,7,7
9,LOCATION_ASSOCIATION,LOCATION_ASSOCIATION,IS_A_NATIVE_OF,6,6
2,IS_A_MEMBER_OF,RECEIVED_ACTION,RECIPIENT_OF,5,5
12,BLANCHES_FROM,BLANCHING_RELATED,BLANCHED_USING,5,4
29,SPRING_CHERVIL_CULTIVATED_WITH,SEASONAL_CHERVIL_ACTIVITY,WINTER_CHERVIL_SOWN_IN,4,4
34,IS ALSO KNOWN AS,ALSO_KNOWN_AS,KNOWN_AS,4,4
24,COOPER_CINNAMON_USED_IN_LEAD_PIPE_END,LEAD_PIPE_MATERIAL_OR_ALTERNATIVE,LEAD_PIPE_MADE_OF,3,3
11,AFFECTS_LOCAL_MARKET_GARDENERS_COMPETITIVENESS_DUE_TO_FACTOR,COMPETITION_FROM_EXTERNAL_FACTORS,AFFECTED_BY_COMPETITION_FROM_OUTSIDE_REGION,3,3
16,ASSOCIATED_WITH_GARDENS_IN_PARIS,ASSOCIATED_WITH_EVENTS_OR_LOCATIONS,JUNE_ASSOCIATED_EVENT,3,3
33,PINK_RADISH_GROWN_IN_LOCATIONS,RADISH_ORIGIN,RADISH_GROWN_AND_WATERED,3,3
40,LETTUCE_VARIETY_IS_RELATED_TO,LETTUCE_RELATIONSHIP,LETTUCE_NEVER_REPLACED,3,3
28,PICKED_BEFORE_RIPENING_ON_VINE,BEFORE_RIPENING_ON_VINE,LONG_BEFORE_RIPENING_ON_VINE,2,2
15,PEST_FEAR_HEAT,CONTAIN_TOXIC_SUBSTANCE,PEST_FEAR_HEAT,2,2
13,BELL_MARKED_AT,BELL_RELATED_INFO,BELL_MARKED_AT,2,2
41,ESTABLISHED_IN,FOUNDED,FOUNDED_PRIZE,2,2
23,COLLAR_SUNK_INTO_GROUND,COLLAR_POSITION,COLLAR_SUNK_INTO_GROUND,2,1
32,LATHS_COMBINED_WITH_STRAW_AND_WICKER_TO_CONSTRUCT_WINDBREAKS,CONSTRUCTION_OF_STRUCTURES_IN_DIFFICULT_TERRAIN,STAKES_USED_TO_SUPPORT_STRUCTURES_IN_MARSHY_AREA,2,2
25,RARELY_MARRY_OUTSIDE_OF,INTERMARRIAGE_PATTERN,RARELY_MARRY_OUTSIDE_OF,1,1
21,GEUREA_FAMILY_CONTAINS,FAMILY_RELATIONSHIP,GEUREA_FAMILY_CONTAINS,1,1
31,MORE_SUCCESSFUL_IN_OCTOBER_THAN_SPRING,MONTHLY_COMPARISON_OF_SUCCESS,MORE_SUCCESSFUL_IN_OCTOBER_THAN_SPRING,1,1
27,WHITE_ASPARAGUS_CROP_OF_GREEN_ASPARAGUS,COLOR_VARIETY_OF_ASPARAGUS,WHITE_ASPARAGUS_CROP_OF_GREEN_ASPARAGUS,1,1
37,PERSIL_IS_SUBTYPE_OF,INSTANCE_OF,PERSIL_IS_SUBTYPE_OF,1,1
36,WATERCRESS_SORREL_RELATED_TO,RELATED_TO_GREENS,WATERCRESS_SORREL_RELATED_TO,1,1
35,AIMED_AT_PRODUCING_MANUAL_FOR,AIMED_AT_PRODUCING_RESOURCE_FOR,AIMED_AT_PRODUCING_MANUAL_FOR,1,1
39,CABBAGE_POMMENT_AGE,CABBAGE_HARVESTING_AGE,CABBAGE_POMMENT_AGE,1,1
